instance_id,text
la_dama_boba_s000,"La dama boba Lope de Vega  Biblioteca Virtual Miguel de Cervantes Saavedra Universidad de Alicante Copyright © Universidad de Alicante, Banco Santander Central Hispano 1999-2001."
la_dama_boba_s001,"Accesible desde http://cervantesvirtual.com Año 2002  ÍNDICE Acto I Acto II Acto III  [Zamora Vicente, Alonso, Para el entendimiento de La dama boba, Separata de Collected Studies in honor of Americo Castro's Eightieth Year, Oxford, The Limcombe Lodge Research Library, 1965.]"
la_dama_boba_s002,PERSONAJES caballero.
la_dama_boba_s003,lacayo.
la_dama_boba_s004,caballero.
la_dama_boba_s005,viejo.
la_dama_boba_s006,su amigo.
la_dama_boba_s007,caballero.
la_dama_boba_s008,caballero.
la_dama_boba_s009,caballero.
la_dama_boba_s010,maestro.
la_dama_boba_s011,dama.
la_dama_boba_s012,su hermana.
la_dama_boba_s013,criada.
la_dama_boba_s014,criada.
la_dama_boba_s015,lacayo.
la_dama_boba_s016,.
la_dama_boba_s017,.
la_dama_boba_s018,.
la_dama_boba_s019,"Acto I    caballero, y TURÍN, lacayo; los dos de camino."
la_dama_boba_s020,¡Qué lindas posadas!
la_dama_boba_s021,¡Frescas!
la_dama_boba_s022,¿No hay calor?
la_dama_boba_s023,Chinches y ropa tienen fama en toda Europa.
la_dama_boba_s024,¡Famoso lugar Illescas!
la_dama_boba_s025,No hay en todos los que miras quien le iguale.
la_dama_boba_s026,Aun si supieses la causa... ¿Cuál es?
la_dama_boba_s027,Dos meses de guindas y de mentiras.
la_dama_boba_s028,"Como aquí, Turín, se juntan de la Corte y de Sevilla, Andalucía y Castilla, unos a otros preguntan, unos de las Indias cuentan, y otros con discursos largos de provisiones y cargos, cosas que el vulgo alimentan."
la_dama_boba_s029,¿No tomaste las medidas?
la_dama_boba_s030,Una docena tomé.
la_dama_boba_s031,¿Y imágenes?
la_dama_boba_s032,"Con la fe que son de España admitidas, por milagrosas en todo  cuanto en cualquiera ocasión les pide la devoción y el nombre."
la_dama_boba_s033,"Pues, dese modo, lleguen las postas, y vamos."
la_dama_boba_s034,¿No has de comer?
la_dama_boba_s035,"Aguardar a que se guise es pensar que a media noche llegamos; y un desposado, Turín, ha de llegar cuando pueda lucir."
la_dama_boba_s036,Muy atrás se queda con el repuesto Marín; pero yo traigo qué comas.
la_dama_boba_s037,¿Qué traes?
la_dama_boba_s038,Ya lo verás.
la_dama_boba_s039,Dilo.
la_dama_boba_s040,¡Guarda!
la_dama_boba_s041,Necio estás.
la_dama_boba_s042,¿Desto pesadumbre tomas?
la_dama_boba_s043,"Pues, para decir lo que es... Hay a quien pesa de oír su nombre."
la_dama_boba_s044,Basta decir que tú lo sabrás después.
la_dama_boba_s045,¿Entretiénese la hambre con saber qué ha de comer?
la_dama_boba_s046,Pues sábete que ha de ser... ¡Presto!
la_dama_boba_s047,...tocino fiambre.
la_dama_boba_s048,"Pues, ¿a quién puede pesar de oír nombre tan hidalgo?"
la_dama_boba_s049,"Turín, si me has de dar algo, ¿qué cosa me puedes dar que tenga igual a ese nombre?"
la_dama_boba_s050,Esto y una hermosa caja.
la_dama_boba_s051,Dame de queso una raja; que nunca el dulce es muy hombre.
la_dama_boba_s052,Esas liciones no son de galán ni desposado.
la_dama_boba_s053,Aún agora no he llegado.
la_dama_boba_s054,Las damas de Corte son todas un fino cristal: transparentes y divinas.
la_dama_boba_s055,"Turín, las más cristalinas comerán."
la_dama_boba_s056,¡Es natural!
la_dama_boba_s057,Pero esta hermosa Finea con quien a casarte vas comerá... Dilo.
la_dama_boba_s058,"No más de azúcar, maná y jalea."
la_dama_boba_s059,"Pasaráse una semana con dos puntos en el aire, de azúcar."
la_dama_boba_s060,¡Gentil donaire!
la_dama_boba_s061,¿Qué piensas dar a su hermana?
la_dama_boba_s062,"A Nise, su hermana bella,  una rosa de diamantes, que así tengan los amantes tales firmezas con ella; y una cadena también, que compite con la rosa."
la_dama_boba_s063,Dicen que es también hermosa.
la_dama_boba_s064,"Mi esposa parece bien, si doy crédito a la fama, de su hermana poco sé; pero basta que me dé lo que más se estima y ama."
la_dama_boba_s065,¡Bello golpe de dinero!
la_dama_boba_s066,Son cuarenta mil ducados.
la_dama_boba_s067,¡Bravo dote!
la_dama_boba_s068,"Si contados los llego a ver, como espero."
